scaled,denoised
-0.9718865851527028,-0.9697976284416561
-0.9735567157156404,-0.9685402501288075
-0.9638626835260231,-0.9685402501288075
-0.9613937891091241,-0.9592984253484895
-0.9575452243462725,-0.9592984253484895
-0.9628097713390682,-0.9642552422971196
-0.9660411177259371,-0.9642552422971196
-0.9713419766027243,-0.972153452074385
-0.9733025673826469,-0.972153452074385
-0.9771602501996857,-0.9759709275710078
-0.9751179245685823,-0.9759709275710078
-0.9676749433758726,-0.968685505637561
-0.9700349160827759,-0.968685505637561
-0.9702890644157693,-0.9712819234799407
-0.9726127252386811,-0.9712819234799407
-0.9677475601728662,-0.9678321350794108
-0.9682558568388532,-0.9678321350794108
-0.9642620654530039,-0.9646365390205628
-0.9653512825529608,-0.9646365390205628
-0.9636811450190338,-0.9645457502731106
-0.9657506575089521,-0.9645457502731106
-0.9665857262759155,-0.9661072375242227
-0.9659685009289435,-0.9661072375242227
-0.9636085351930296,-0.9644186571771673
-0.9655691259729522,-0.9644186571771673
-0.9662952660589306,-0.9686310317723296
-0.9713056647187328,-0.9686310317723296
-0.9693450739388102,-0.96990200933073
-0.9707973680527457,-0.96990200933073
-0.967602326578879,-0.9648907321585273
-0.9625193180930727,-0.9648907321585273
-0.952934207613451,-0.9549407800252013
-0.957291076013279,-0.9549407800252013
-0.957799372679266,-0.9557033655942825
-0.9539508079164144,-0.9557033655942825
-0.9544591115533908,-0.9546865824627768
-0.9552578684363628,-0.9546865824627768
-0.9561292421163284,-0.95580324295606
-0.9558206573268001,-0.95580324295606
-0.9532972776564402,-0.9518904181225956
-0.9508283832395412,-0.9518904181225956
-0.9489767141696144,-0.9446639584332702
-0.9406986642099412,-0.9446639584332702
-0.939055776273734,-0.9408283069649926
-0.9429497152068488,-0.9408283069649926
-0.9462536714197218,-0.9458078464262271
-0.9457090628697433,-0.9458078464262271
-0.9436758622638166,-0.9444823935119895
-0.9456364530437392,-0.9444823935119895
-0.9433854020468315,-0.9432477189368625
-0.9434580188438252,-0.9432477189368625
-0.9415337329769047,-0.9356580933383671
-0.9301332583403583,-0.9356580933383671
-0.9246871728405733,-0.9251269999531467
-0.9259216235345176,-0.9251269999531467
-0.9166632781848831,-0.9192259367718991
-0.9221456685976701,-0.9192259367718991
-0.9311135537303196,-0.925744340068768
-0.920729686367726,-0.925744340068768
-0.9343449001171885,-0.9357670354610721
-0.9375399346200659,-0.9357670354610721
-0.9490130260536058,-0.945971262441332
-0.9432764803368359,-0.945971262441332
-0.9461084447967241,-0.9497479035214723
-0.953732964496423,-0.9497479035214723
-0.9498843997335714,-0.9495300204642539
-0.9495213227195929,-0.9495300204642539
-0.9460358279997304,-0.9429935202335361
-0.9402992892539499,-0.9429935202335361
-0.9381208550540359,-0.934241848796292
-0.9307141787743283,-0.934241848796292
-0.9313677090343025,-0.9316635467058706
-0.9323116925402722,-0.9316635467058706
-0.9339818300741993,-0.9364570032900036
-0.9392826819799971,-0.9364570032900036
-0.9371768645770767,-0.9364933184818812
-0.9361602642741134,-0.9364933184818812
-0.9430586369168444,-0.9442645065255578
-0.9458179845797391,-0.9442645065255578
