AMZN,NOV,EQIX,CTAS,CRM,BSX,IT,V,MSI,CLX,WAT
-0.21724807872935417,0.3377197889479202,-0.2908396371669847,-0.2180051279466115,-0.2602194318081785,-0.048668244795653,-0.2973374366854735,-0.23664513499088619,-0.16045655680030751,-0.295542157055741,-0.21889117979827227
-0.21845537346698268,0.36862080309560646,-0.29308932866009996,-0.22186293116133513,-0.2604362028228201,-0.05090412862005073,-0.3000152489316292,-0.23971680649099092,-0.17354501128590355,-0.3070812521928222,-0.22437679694838322
-0.21797644672328303,0.35169574019210925,-0.29577586396889505,-0.22132576633038994,-0.2547846517033537,-0.05006567884936099,-0.30066836414688725,-0.2454700993132666,-0.1750323414009082,-0.3032625647615689,-0.21826168612250535
-0.2184304316256626,0.34387425865188403,-0.2982221393450381,-0.22386507913141288,-0.25368530961106167,-0.0606861403421686,-0.3028236767464119,-0.24703031242447285,-0.18187404308778124,-0.3123112129507783,-0.22086959094388495
-0.21729796621816574,0.33477067728861204,-0.2924777639820362,-0.21995845121763571,-0.2517808079102716,-0.051742605044578026,-0.30008056294462987,-0.24314602915398123,-0.18008925256382508,-0.30915662992734044,-0.21866636307870074
-0.2175673632251539,0.3669538997463837,-0.2860999942481021,-0.2209351035390122,-0.24879245113627363,-0.05956819842996977,-0.3014521198455209,-0.23797781779834182,-0.17800700163091746,-0.3132243842208066,-0.2263102344586318
-0.21743266662474556,0.33784791214059395,-0.28197191600728344,-0.21868879481712422,-0.24673311468404446,-0.056493838181044774,-0.29942743527199756,-0.23256582043169202,-0.17443742058300518,-0.30384366799381396,-0.22801887240172505
-0.2167990837177072,0.36913362132741734,-0.27832435763176855,-0.219274784347123,-0.24549442485939757,-0.05593488055186419,-0.2995580508406246,-0.23076182130947542,-0.1750323414009082,-0.3073302873872841,-0.22842354935792036
-0.2174925300888509,0.3752881995184199,-0.2814913961419796,-0.22308375354865748,-0.24707375822509098,-0.060965632483677756,-0.3015174338585216,-0.23123313762423645,-0.1809816618609267,-0.31280928333970204,-0.22990737058144206
-0.2175523973591276,0.3487466285328011,-0.27555045355983754,-0.22357208436641346,-0.2456802218358707,-0.05286054695677685,-0.29994993491862854,-0.22881155802033554,-0.18187404308778124,-0.31637893557649355,-0.23372930627140756
-0.21685895098798394,0.3428485137012234,-0.2736283907625101,-0.22039793870806695,-0.2451228072801826,-0.04978618670785186,-0.29531273965457583,-0.2321920135615466,-0.17949433174592214,-0.3162959344009233,-0.22846852299328443
-0.21535731359587582,0.40234269722288835,-0.26928189894579535,-0.21947012039987968,-0.24300154637788524,-0.041681101180950954,-0.28936930150263285,-0.22933162905740426,-0.17741208081301454,-0.31895241536768654,-0.2231177924444332
-0.21729298013360457,0.37233919634615037,-0.2736283907625101,-0.22611138785330084,-0.24749182504842424,-0.05034517099087009,-0.2962271233792108,-0.23516617561703576,-0.1869309542506982,-0.3340611627415591,-0.22927785975325887
-0.21789163761168626,0.4106769969949246,-0.27878303114031644,-0.22650205064467854,-0.24953567448156921,-0.05481693863966537,-0.29851305154736263,-0.23762026663545616,-0.1872284146596497,-0.34053633113957565,-0.23332462931521222
-0.2177968487186243,0.37118521971577734,-0.28345715165281893,-0.2256719003628696,-0.24699634675593862,-0.06124509797134918,-0.2992314932329956,-0.2405944286909453,-0.18455124290883906,-0.3333140254904225,-0.23485340702168167
-0.21896423574890636,0.36964654804626706,-0.28380661004147495,-0.22982268902845693,-0.24993824247268392,-0.06851173372756034,-0.3045871177253069,-0.244771252694755,-0.18782336354779985,-0.3470945323809134,-0.2382706657554519
-0.2195279716042028,0.3322062606684411,-0.2820592847704193,-0.22850420792889195,-0.24874600189215537,-0.05900921414695158,-0.30341149040604365,-0.24181334634652565,-0.18603857302384372,-0.3441890162196884,-0.22797391591877716
-0.21802134812753343,0.36708213142609614,-0.27832435763176855,-0.22454873668779,-0.24475120151410198,-0.05593488055186419,-0.30138680583252025,-0.2386116539872859,-0.1809816618609267,-0.33929112349951523,-0.2249613169887861
-0.21675917601036082,0.3720827329867255,-0.27878303114031644,-0.2252324035583027,-0.24470475226998367,-0.04615286882974623,-0.30164806188452287,-0.23578376849819158,-0.18127912226987827,-0.34037029712068406,-0.22217355193078278
-0.21612559310332252,0.3890077958902228,-0.2751136264080456,-0.22742987826700148,-0.24589699285051228,-0.0455939112005657,-0.3014521198455209,-0.23350845306121398,-0.18514616372674206,-0.3397891938884389,-0.2249613169887861
-0.2163500925122317,0.38618691591062704,-0.2730168260844462,-0.23035985385940216,-0.24747633802934005,-0.0481092871664724,-0.2994927492849982,-0.23482488016140987,-0.1967473161675806,-0.33904205663730236,-0.22176887497458747
-0.21548203422099044,0.38375073097016843,-0.2668356235696523,-0.2308481846771582,-0.24357443613952323,-0.056493838181044774,-0.2958352393012069,-0.23415854495741778,-0.21191802158608425,-0.3333140254904225,-0.2175422623284266
-0.21705850474940164,0.3841354260093058,-0.2760528197818973,-0.23460831986550348,-0.24427121024070053,-0.07298350137635568,-0.3015174338585216,-0.23529619647617087,-0.2163800119310982,-0.3381289170350253,-0.22203866532952313
-0.2172680344861131,0.47465885535836944,-0.2797003781574122,-0.2355361381736908,-0.24221187378847137,-0.08472190478136205,-0.30386868849704823,-0.23937551103536497,-0.23125327097577397,-0.3368006448838926,-0.22006023703149427
